id	title	description	availability	inventory	condition	price	sale_price	link	image_link	brand	item_group_id	product_type	google_product_category	custom_label_0	custom_label_1
573032433401	Оливки большие, зеленые с косточкой Bravo aceitunas con bueso 1000г	Оливки#nbsp;большие, зеленые с косточкой Bravo aceitunas con bueso 1000 г Испания	in stock	999	new	289.00 UAH		https://smartfood.org.ua/canned/tproduct/320925876-573032433401-olivki-bolshie-zelenie-s-kostochkoi-brav	https://static.tildacdn.com/tild3361-3331-4363-b335-393861313066/2829493516_olivki-gi.jpg	Corbi	573032433401	Консервация, консервы	5811	free	
597532988341	Колбаса салями сырокопченная Javor Salama Vijofel 750г	Колбаса салями сырокопченная Javor Salama Vijofel 750г Словакия	in stock	999	new	335.00 UAH		https://smartfood.org.ua/meat-sausages/tproduct/320929133-597532988341-kolbasa-salyami-sirokopchennaya-javor-sa	https://static.tildacdn.com/tild3163-6234-4965-b261-613463393637/0605201901_Javor1-70.jpg	Vijofel	597532988341	Колбасы, хамон, тушенка	4628	free	
855027504831	Хамон FAR Jamon Serrano 500г	Хамон FAR Jamon Serrano без глютена и лактозы, 500г Испания	in stock	999	new	399.00 UAH		https://smartfood.org.ua/meat-sausages/tproduct/320929133-855027504831-hamon-far-jamon-serrano-500g	https://static.tildacdn.com/tild3133-3838-4362-a664-356164386430/253402251_images_201.jpg	FAR	855027504831	Колбасы, хамон, тушенка	4628	free	
377716464571	Хамон FAR Jamon Serrano 250г	Хамон FAR Jamon Serrano без глютена и лактозы, 250г Испания	in stock	999	new	225.00 UAH		https://smartfood.org.ua/meat-sausages/tproduct/320929133-377716464571-hamon-far-jamon-serrano-250g	https://static.tildacdn.com/tild3133-3838-4362-a664-356164386430/253402251_images_201.jpg	FAR	377716464571	Колбасы, хамон, тушенка	4628	free	
752437198371	Компотная смесь для узвара 1кг	Компотная смесь для узвара (сухофрукты) 1кг	in stock	999	new	100.00 UAH		https://smartfood.org.ua/driedfruits/tproduct/320927450-752437198371-kompotnaya-smes-dlya-uzvara-1kg	https://static.tildacdn.com/tild3132-3130-4437-b961-306630663961/large_00c604a2020ee3.jpg	Amanti	752437198371	Сухофрукты и цукаты	1755	ad	
686728689331	Дыня тайская Канталупа сушеная 500г.	Дыня тайская Канталупа сушеная Аманти 500г. Турция	in stock	999	new	262.00 UAH		https://smartfood.org.ua/driedfruits/tproduct/320927450-686728689331-dinya-taiskaya-kantalupa-sushenaya-500g	https://static.tildacdn.com/stor6335-6330-4531-b431-343462376365/98161641.jpg	Аманти	686728689331	Сухофрукты и цукаты	1755	ad	
161794612961	Инжир сушеный 1кг.	Инжир сушеный 1 кг. Турция	in stock	999	new	319.00 UAH		https://smartfood.org.ua/driedfruits/tproduct/320927450-161794612961-inzhir-sushenii-1kg	https://static.tildacdn.com/tild3930-6333-4030-b937-346230376637/02FF11E4-B471-4E5E-A.jpeg	smartfood.org.ua	161794612961	Сухофрукты и цукаты	1755	ad	
958549308781	Финики Salammbo 1кг	Финики Salammbo Тунис 1кг	in stock	999	new	249.00 UAH		https://smartfood.org.ua/eastsweets/tproduct/320927762-958549308781-finiki-salammbo-1kg	https://static.tildacdn.com/tild3264-3238-4335-b561-656638306239/IMG_1956-800x800.jpg	smartfood.org.ua	958549308781	Восточные сладости	6785	ad	
333197976281	"Изюм ""Малаяр"" темный - 1кг"	"Изюм ""Малаяр"" темный Иран 1 кг"	in stock	999	new	149.00 UAH		https://smartfood.org.ua/driedfruits/tproduct/320927450-501164251901-izyum-malayar-temnii?editionuid=333197976281	https://static.tildacdn.com/tild6135-3332-4866-b335-313833303565/izyum6.jpg	smartfood.org.ua	501164251901	Сухофрукты и цукаты	1755	ad	
785763006471	Самаркандская Узбекская халва мраморная 500г.	Самаркандская Узбекская халва мраморная 500г. Украина	in stock	999	new	103.00 UAH		https://smartfood.org.ua/eastsweets/tproduct/320927762-785763006471-samarkandskaya-uzbekskaya-halva-mramorna	https://static.tildacdn.com/tild3536-6264-4062-b333-343064666532/xalvauzbekmramor-120.jpg	smartfood.org.ua	785763006471	Восточные сладости	6785	ad	
